slug,date,title,content,pinned,link,status
2026-06-26-club-revival,2026-06-26,竹韻口琴社正式復社！,"跟大家告知一件重要的消息——我們竹韻口琴社**成功復社**了🎊 非常感謝一路上各位的鼎力相助！

目前暑假正在籌備社團經營與招生推廣，Discord 群與 Instagram 帳號都會持續更新，正在招募琴友與新社員中🤩

- [Instagram @nycu_harmonica](https://www.instagram.com/nycu_harmonica/)
- [Facebook 粉絲專頁](https://www.facebook.com/nycubmhc/)

未來敬請各位多多支持，非常感謝！",TRUE,https://www.instagram.com/nycu_harmonica/,
2026-07-15-site-launch,2026-07-15,竹韻口琴社官方網站上線,"竹韻口琴社官方網站正式上線！之後社團的公告、活動時程與活動照片都會在這裡更新。

網站內容由幹部透過公開 Google Sheet 與公開 Google Calendar 維護；完整活動時程以活動頁行事曆為準。",,,
